Kivinen;2673
Lipponen;2669
Moisio;2634
Parkkinen;2634
Haverinen;2629
Keinänen;2608
Korpi;2598
Kärki;2595
Venäläinen;2591
Kaikkonen;2586
Pohjola;2586
Ruuskanen;2578
Jäntti;2577
Kauppila;2576
Vesterinen;2576
Valkonen;2575
Ylönen;2568
Raatikainen;2560
Mononen;2547
Sainio;2510
Haataja;2504
Holmberg;2496
Anttonen;2493
Järvelä;2470
Kovanen;2460
Syrjälä;2460
Tirkkonen;2460
Holmström;2458
Nikula;2449
Rossi;2449
Ahokas;2425
Pekkala;2410
Pehkonen;2408
Huuskonen;2388
Kuronen;2379
Palomäki;2377
Tiihonen;2375
Karhunen;2373
Sallinen;2367
Vuorela;2367
Muhonen;2364
Lilja;2356
Männistö;2355
Seppä;2349
Valkama;2347
Elo;2336
Latvala;2329
Alanko;2328
Oikarinen;2324
Konttinen;2318
Alanen;2307
Sjöblom;2305
Simola;2304
Ryynänen;2298
Reinikainen;2292
Rönkkö;2287
Kämäräinen;2285
Pöllänen;2282
Sirén;2269
Salomaa;2262
Linna;2261
Pekkarinen;2259
Soini;2255
Eloranta;2241
Marttinen;2240
Kiuru;2234
Riihimäki;2234
Lammi;2233
Kari;2232
Keskitalo;2224
Sirviö;2218
Forsman;2205
Airaksinen;2204
Nevala;2199
Sutinen;2186
Antikainen;2185
Sihvonen;2185
Lankinen;2183
Puranen;2182
Järvi;2180
Haapaniemi;2178
Grönroos;2168
Aro;2160
Uotila;2155
Ylinen;2150
Simonen;2144
Holappa;2143
Ihalainen;2132
Paavilainen;2124
Tähtinen;2120
Kauppi;2107
Toivola;2100
Kauhanen;2089
Virolainen;2088
Aarnio;2083
Kiiskinen;2076
Lehti;2073
Sivonen;2064
Sormunen;2062
Sundström;2057
Luoto;2048
Joensuu;2038
Ruohonen;2033
Eerola;2030
Luostarinen;2025
Friman;2024
Koivuniemi;2023
Snellman;2022
Hassinen;2012
Westerlund;2006
Kotilainen;2004
Törmänen;2003
Kalliokoski;1989
Nordström;1980
Tuomisto;1980
Nenonen;1969
Suvanto;1968
Sorsa;1948
Ruuska;1941
Sinkkonen;1939
Laamanen;1936
Pietikäinen;1927
Koljonen;1923
Kiiski;1916
Tervonen;1916
Piiroinen;1912
Nygård;1906
Pikkarainen;1903
Björklund;1899
Ukkonen;1899
Tenhunen;1897
Rajamäki;1896
Sinisalo;1892
Nyström;1882
Paajanen;1882
Antila;1874
Suomela;1872
Forsström;1869
Siitonen;1863
Vuorio;1862
Pöyhönen;1857
Ekman;1856
Lämsä;1856
Suomi;1855
Kuokkanen;1848
Laitila;1837
Junttila;1836
Vainionpää;1834
Lind;1833
Hyytiäinen;1832
Kekkonen;1832
Lyytikäinen;1830
Neuvonen;1829
Huusko;1827
Saarelainen;1822
Tahvanainen;1822
Leppälä;1821
Alho;1819
Kujanpää;1819
Vepsäläinen;1817
Jantunen;1815
Bergman;1813
Mäkitalo;1806
Vanhanen;1804
Lempinen;1800
Suutari;1799
Nyholm;1795
Sandberg;1795
Arola;1792
Hynninen;1791
Wikström;1787
Jylhä;1784
Kontio;1782
Tapio;1780
Hakanen;1777
Inkinen;1768
Kääriäinen;1768
Helander;1765
Tuomainen;1764
Pirhonen;1760
Närhi;1759
Pakkanen;1757
Ekholm;1751
Kosunen;1743
Honkala;1740
Minkkinen;1739
Palonen;1739
Saukkonen;1739
Kaartinen;1734
Hurme;1729
Pyykkö;1719
Tauriainen;1707
Lukkarinen;1704
Piironen;1704
Rintamäki;1704
Puttonen;1700
Nurmela;1697
Määttänen;1693
Nummela;1688
Tukiainen;1687
Söderlund;1686
Itkonen;1681
Kananen;1676
Romppanen;1674
Nikkanen;1672
Remes;1669
Tiilikainen;1664
Kautto;1656
Selin;1656
Mäkilä;1654
Harjula;1652
Välimaa;1651
Halttunen;1650
Tossavainen;1649
Grönlund;1646
Ryhänen;1638
Pekkanen;1635
Kalliomäki;1631
Santala;1629
Vanhala;1625
Pyykkönen;1617
Koivu;1616
Tammi;1610
Myllylä;1608
Koivumäki;1603
Kuitunen;1603
Piispanen;1592
Ahtiainen;1585
Happonen;1583
Setälä;1583
Tuomaala;1581
Ketonen;1569
Lintunen;1568
Saukko;1567
Lindeman;1565
Nyyssönen;1563
Kataja;1556
Valtanen;1556
Tuomela;1555
Hovi;1548
Hellsten;1547
Siltanen;1547
Tuhkanen;1536
Kivioja;1535
Pietiläinen;1534
Sundqvist;1534
Vesala;1534
Siekkinen;1532
Poutanen;1529
Mäntynen;1517
Tyni;1517
Syrjänen;1512
Kuusinen;1510
Toikka;1507
Hakola;1506
Kangasniemi;1505
Turtiainen;1505
Rämö;1498
Hellman;1497
Haapalainen;1496
Hakulinen;1496
Piipponen;1493
Päivärinta;1491
Jäppinen;1486
Vänskä;1486
Vaittinen;1485
Mykkänen;1484
Montonen;1483
Pellinen;1483
Kuivalainen;1481
Sivula;1480
Kuittinen;1477
Parkkonen;1475
Piippo;1472
Peltomäki;1469
Torvinen;1469
Honkonen;1462
Salin;1462
Stenberg;1462
Jalkanen;1461
Kärnä;1459
