Saila;2263
Aija;2245
Margaretha;2236
Annele;2213
Helli;2194
Mila;2176
Aava;2161
Inari;2161
Louise;2161
Hellin;2134
Helga;2121
Senni;2081
Selma;2057
Lydia;2057
Rita;2052
Salli;2048
Hanne;2044
Lilli;2041
Vilja;2032
Christine;2028
Tuire;2024
Heta;2017
Taija;1997
Stella;1992
Solveig;1978
Laina;1974
Carola;1971
Brita;1958
Reeta;1945
Jade;1944
Carolina;1933
Wilma;1933
Vera;1928
Heljä;1924
Erica;1915
Eini;1907
Varpu;1903
Anastasia;1896
Vanessa;1891
Edith;1890
Carina;1890
Rebekka;1888
Lisa;1884
Monika;1882
Melissa;1861
Liina;1851
Isla;1850
Hertta;1849
Riitta-Liisa;1838
Reija;1835
Lyyli;1821
Mimosa;1801
Inger;1784
Elin;1781
Siviä;1773
Patricia;1759
Isabel;1754
Minja;1740
Susan;1739
Melina;1734
Karolina;1731
Sofie;1726
Marja-Terttu;1716
Lena;1710
Anna-Kaisa;1701
Kerstin;1686
Säde;1675
Henrietta;1673
Rakel;1673
Kia;1663
Elsi;1661
Moona;1654
Harriet;1646
Lilian;1635
Mirella;1635
Mariia;1631
Miina;1627
Sointu;1624
Charlotte;1613
Maisa;1611
Tuovi;1603
Titta;1599
Frida;1598
Janna;1594
Aura;1593
Marleena;1593
Saima;1591
Valpuri;1590
Pirita;1582
Viktoria;1581
Adalmiina;1573
Ingegerd;1543
Raisa;1534
Else;1522
Kaisla;1513
Helene;1504
Jasmine;1504
Mette;1485
Annette;1480
Stina;1477
Greta;1467
Jasmiina;1461
Berit;1452
Mariitta;1445
Ira;1444
Kirsi-Marja;1441
Tilda;1440
Ursula;1440
Selina;1436
Rebecca;1393
Anna-Mari;1392
Leea;1390
Tia;1389
Martina;1384
Wilhelmina;1381
Marja-Riitta;1381
Elvira;1374
Pilvi;1373
Benita;1373
Terhikki;1367
Miisa;1366
Hely;1363
Iisa;1353
Ninni;1352
Veronica;1352
Agneta;1348
Helen;1343
Mailis;1329
Kanerva;1320
Taika;1314
Ann-Mari;1310
Yvonne;1305
Barbro;1304
Vivian;1302
Hanna-Leena;1294
Bertta;1289
Maj-Britt;1275
Anna-Leena;1270
Hanna-Mari;1268
Amelia;1266
Beatrice;1254
Valma;1254
Kiira;1254
Raila;1248
Liisi;1247
Iines;1247
Henni;1246
Kaarin;1246
Anne-Maria;1235
Justiina;1235
Siv;1234
Lumia;1233
Henrika;1230
Siru;1222
Eleonoora;1218
Magdalena;1218
Fredrika;1199
Janica;1192
Eleonora;1179
Seela;1178
Edit;1177
Tina;1173
Lovisa;1168
Malin;1167
Gunvor;1166
Erin;1157
Pirkko-Liisa;1148
Diana;1147
Anne-Marie;1143
Elle;1141
Mea;1118
Thi;1114
Gunnel;1112
Marjo-Riitta;1107
Sarita;1105
Ann;1100
Madeleine;1095
Sohvi;1092
Caroline;1089
Kirsikka;1082
Suoma;1075
Juuli;1072
Virva;1060
Miranda;1060
Lina;1051
Paulina;1045
Maija-Leena;1043
Enna;1037
Mathilda;1037
Evelina;1032
Milka;1026
Vellamo;1023
Elizabeth;1021
Elna;1016
Michaela;1010
Sarah;1003
Vilhelmina;1002
Ruth;1001
Sanna-Mari;1000
Impi;997
Mariella;994
Iita;993
Tinja;986
Sabina;982
Peppiina;978
Riia;973
Serafiina;972
Annamari;969
Teresia;968
Saaga;968
Ilmi;965
Signe;964
Natalie;963
Margareetta;961
Valentina;958
Nanna;946
Mimmi;946
Maj-Lis;946
Gun;942
Svetlana;939
Ansa;939
Ebba;939
Amelie;936
Felicia;936
Marlene;921
Tessa;919
Lemmikki;916
Nadja;914
Maarika;912
Aida;911
Åsa;906
Kira;899
Doris;899
Ruut;894
Hanna-Kaisa;893
Margareeta;892
Auroora;891
Kerttuli;887
Ava;885
Isa;882
Annu;878
Adeliina;869
Katrina;867
Dagmar;856
Juliaana;851
Ellinoora;850
Nelly;850
Jatta;849
Miriam;847
Jennifer;845
