Viljam;2 417
Marcus;2 404
Magnus;2 390
Mathias;2 369
Juha-Matti;2 359
Bengt;2 343
Waltteri;2 338
Nuutti;2 328
Olli-Pekka;2 304
Jonathan;2 303
Patrick;2 301
Stig;2 295
Nooa;2 290
Reima;2 269
Kenneth;2 262
Kaleva;2 238
Aarni;2 205
Mattias;2 195
Jesper;2 190
Rolf;2 176
Ali;2 165
Eevert;2 153
Teijo;2 150
Aapeli;2 134
Lucas;2 126
Alarik;2 121
Evert;2 099
Noel;2 095
Tino;2 086
Eliel;2 082
Einar;2 079
Ossian;2 070
Kurt;2 023
Mats;2 021
Petter;2 017
Lari;1 954
Peetu;1 943
Lukas;1 939
Asser;1 935
Mohamed;1 908
Justus;1 907
Sisu;1 906
Kaapo;1 897
Tommy;1 887
Tenho;1 884
Per;1 880
Håkan;1 873
Helge;1 860
Eric;1 855
Ukko;1 851
Antton;1 844
Anttoni;1 836
Taavi;1 831
Taavetti;1 821
Åke;1 800
Tobias;1 788
Karri;1 782
Valter;1 759
Gustaf;1 752
Ari-Pekka;1 750
David;1 744
Manu;1 743
Bo;1 718
Leonard;1 715
Verner;1 693
Felix;1 689
Roger;1 686
Ralf;1 684
Björn;1 678
Erno;1 672
Heino;1 661
Kaarle;1 654
Simon;1 653
Sulevi;1 620
Jori;1 619
Aleksis;1 610
Luca;1 564
Kosti;1 561
Elmo;1 548
Birger;1 547
Jonatan;1 543
Valentin;1 512
Touko;1 511
Bernhard;1 511
Jerry;1 487
Dan;1 485
Christoffer;1 480
Albin;1 470
Rauli;1 460
Jan-Erik;1 443
Jalo;1 442
Kimi;1 437
Tuure;1 435
Raine;1 435
Aslak;1 433
Börje;1 431
Victor;1 430
Elis;1 409
Timi;1 382
Ingmar;1 366
Casper;1 364
Salomon;1 360
Bror;1 360
Vertti;1 360
Ulf;1 354
Adam;1 346
Georg;1 345
Ilmo;1 340
Nikolas;1 335
Jari-Pekka;1 332
Edward;1 322
Harald;1 322
Auvo;1 319
Jarl;1 299
Iikka;1 257
Alf;1 254
Taito;1 253
Jiri;1 212
Mico;1 211
Ahmed;1 206
Waldemar;1 205
Linus;1 203
Kristoffer;1 198
Petrus;1 198
Jooa;1 190
Väinämö;1 188
Eemi;1 180
Rudolf;1 169
Arthur;1 160
Kevin;1 159
Adolf;1 159
Sampsa;1 159
Arne;1 147
Valto;1 143
Alvari;1 137
Vilhelmi;1 137
Kasimir;1 107
Isak;1 098
Visa;1 094
Jens;1 092
Altti;1 082
Walter;1 081
Uljas;1 071
Nicolas;1 048
Erkka;1 046
Christopher;1 036
Kjell;1 036
Helmer;1 033
Milo;1 031
Torsten;1 027
Holger;1 022
Filip;1 017
Tor;1 013
Iisak;1 012
Emanuel;997
Ville-Veikko;992
Bertel;990
Niclas;983
Isto;980
Nicholas;973
Niki;973
Ragnar;971
André;969
James;966
Jooseppi;962
Ole;945
Aatto;942
Marco;937
Hjalmar;930
Elia;920
Eevertti;909
Paulus;903
Viking;900
Vincent;899
Bjarne;898
Ben;898
Usko;897
Torsti;895
Adrian;894
Artur;885
Noah;882
Jose;869
Tiitus;865
Konstantin;865
Jakob;860
Benjam;850
Asseri;850
Aksel;846
Joose;837
Johnny;835
Cristian;831
Roy;831
Simeon;830
Jon;828
Jimmy;824
Antonio;821
Uuno;819
Okko;815
Sakarias;808
Vesa-Matti;807
Elmer;806
Teo;805
Wiljami;804
Miikkael;792
Valfrid;789
Ove;788
Jussi-Pekka;787
Ivar;787
Osvald;785
Yrjänä;785
Hemmo;782
Dennis;764
Leon;761
Leander;759
Kauno;753
Alfons;752
Andrei;750
Sasu;750
Oula;743
Olav;740
Teodor;735
Gösta;732
Benjami;719
Arimo;719
Mauritz;719
Maximilian;715
Anselm;710
Roland;705
Boris;702
Valtter;698
Rune;696
Niila;695
Turo;694
Atso;694
Anthony;688
Aron;687
Frank;687
Jim;684
Miikael;683
Jörgen;673
Marius;672
Into;669
Ylermi;665
Noa;664
Tim;663
Elliot;662
Runar;662
Jonni;654
Toimi;653
Ferdinand;648
Manuel;647
Dimitri;645
Ilja;642
Ernst;637
Antinpoika;634
Bruno;633
Aamos;630
Guy;629
Erland;629
Raino;627
Herbert;621
Mark;619
Joachim;617
Evald;614
Liam;612
Rene;612
Immanuel;612
Bertil;607
Arno;604
Ruben;604
Jeremia;604
Nestor;603
Reko;601
Mio;600
Casimir;599
Jesperi;594
Micael;590
Yngve;589
Eugen;585
Valo;581
Romeo;581
Petja;578
Sten;577
Matts;573
Tage;568
Venni;566
Sameli;566
Philip;565
Sam;564
Amos;562
Iivo;561
Werner;560
Orvo;553
Eppu;553
Fabian;553
Hassan;550
